OPIS Truckstop ID,Truckstop Name,Address,City,State,Rack ID,Retail Price,lat,lng
1210,ROADHAWK TRAVEL CENTER,"I-94, EXIT 56 & SR-51",Paw Paw,MI,465,3.559,42.214235,-85.892177
1217,KWIK TRIP #250,"I-90, EXIT 179",Austin,MN,515,3.374,43.672098,-92.977863
1218,CASEYS #3658,SR-210,Pillager,MN,522,3.299,46.330621,-94.477351
1225,AYERCO #35,US-61 & US-61 BUS,Bowling Green,MO,494,3.01566666,39.344774,-91.202488
1234,Lamar Travel Plaza,US-71 & US-160,Lamar,MO,416,3.199,37.493918,-94.278428
1236,AYERCO #44,US-36 & US-24,Palmyra,MO,494,3.01566666,39.797910,-91.526558
1240,TEMP STOP #103,US-65,Sedalia,MO,400,3.199,38.705239,-93.235819
1247,SNAPPY MART #11,US-63 & SR-14,West Plains,MO,535,3.299,36.737430,-91.867957
1251,MAPCO #3009,US-72,Corinth,MS,435,3.154,34.948353,-88.513618
1256,DOUBLE QUICK #89,US-82/US-278,Greenville,MS,655,3.25566666,33.383461,-91.052314
1265,JOE JOES TRAVEL CENTER,US-78 & RED BANKS RD S,Red Banks,MS,435,2.97233333,34.834689,-89.563407
1304,LOVES TRAVEL STOP #667,"I-85, EXIT 152",Mebane,NC,65,3.94733333,36.081679,-79.276742
1315,CIRCLE K #2720218,US-421 BUS & US-15/US-501/US-1,Sanford,NC,177,3.08233333,35.493776,-79.176464
1325,SCOTCHMAN #3303,US-421 & US-74,Wilmington,NC,245,3.629,34.209225,-77.885767
1326,SPEEDWAY #7949,US-301/US-264 ALT & CR-1674,Wilson,NC,205,3.199,35.731488,-77.930750
1333,PUMP & PANTRY #15,US-30,Grand Island,NE,330,3.30733333,40.921352,-98.358559
1340,BORDENTOWN VALERO,"NJ TNPK, EXIT 7 & US-206",Bordentown,NJ,230,3.499,40.149693,-74.707679
1342,Delta,"I-80, EXIT 47B",Fairfield,NJ,115,3.20233333,39.372316,-75.238721
1344,BOLLA TRUCK STOP #193,US-202 & SR-17,Mahwah,NJ,115,3.53233333,41.082067,-74.183061
1348,GLOBAL,SR-73,Palmyra,NJ,150,3.359,40.003099,-75.035889
1356,LOVES TRAVEL STOP #257,"I-40 & HORIZON, EXIT 79",Milan,NM,580,3.59066666,35.196782,-107.892371
1364,7- ELEVEN #40507,"I-80/I-90, MM 56 WB",Rolling Prairie,IN,465,3.98233333,41.674467,-86.619898
1372,PILOT TRAVEL CENTER #469,"I-77, EXIT 101 & SR-627",Canton,OH,249,3.62233333,40.807650,-81.367228
1376,FUEL MART #782,"I-75, EXIT 118",Lima,OH,411,3.08566666,40.740679,-84.112091
1379,TA LODI TRAVEL CENTER,"I-71, EXIT 209 & I-76/US-224, EXIT 1",Seville,OH,305,3.739,41.020726,-81.867136
1384,SUNOCO,"I-80/I-90, EXIT 13 & US-20ALT/SR-15",Montpelier,OH,550,3.41566666,41.584246,-84.591569
1391,ONCUE EXPRESS #2045,"I-35, EXIT 203 & SR-15",Billings,OK,500,3.21566666,36.537595,-97.441749
1395,DOMINO FOOD AND FUEL #1,"I-40, EXIT 66",Clinton,OK,483,3.099,35.507101,-98.970503
1404,ONE9 #339,"I-74, EXIT 4 & SR-63",Covington,IN,375,3.26233333,40.140506,-87.391020
1424,GETTYSBURG TRAVEL PLAZA,US-15 & SR-394,Gettysburg,PA,70,3.899,39.830597,-77.234147
1428,CIRCLE K #4702408,"I-65, EXIT 168 & SR-38/SR-25",Lafayette,IN,375,3.43233333,40.399410,-86.862806
1432,KWIK FILL #259,"I-81, EXIT 57",Mechanicsburg,PA,70,4.049,40.211404,-77.005930
1444,PILOT TRAVEL CENTERS #346,"I-20, EXIT 92 & US-601",Lugoff,SC,135,3.43233333,34.211948,-80.697601
1445,PILOT TRAVEL CENTERS #402,"I-80, EXIT 367",Cheyenne,WY,795,3.709,41.128275,-104.799155
1447,HOT SPOT #3005,US-221,Chesnee,SC,210,3.199,35.146269,-81.863031
1453,EXPRESS STOP,US-278/SR-101/SR-6 & SR-113,Rockmart,GA,193,3.319,34.008306,-85.044978
1455,PETRO FLORENCE,"I-95, EXIT 169",Florence,SC,46,3.32566666,34.178923,-79.792217
